region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlertPM10,dataCoverageAlertPM2.5,Number and type of monitoring stations (PM10),Number and type of monitoring stations (PM2.5),Reference
European Region,Eur HI,Austria,Wiener Neudorf,98,23,2013,,,,16,2013,,,,,,,"1 station, traffic, suburban","1 station, traffic, suburban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Wiener Neustadt,99,18,2013,,,,13,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Wolfsberg,100,26,2013,,,,19,2013,,,,,,,"1 station, traffic, urban","1 station, traffic, urban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,W_rgl,101,20,2013,,,,15,2013,,,,,,,"1 station, traffic, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Austria,Zeltweg,102,21,2013,,,,16,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
Eastern Mediterranean Region,Emr HI,Bahrain,Hamad Town,103,318,2012,,,,66,2012,,,,,,,"1 station, 1 Residential urban station","1 station, 1 Residential urban station","Supreme Council of Environment, 2013."
Eastern Mediterranean Region,Emr HI,Bahrain,Hidd,104,178,2012,,,,41,2012,,,,,,,"1 station, 1 Residential urban station","1 station, 1 Residential urban station","Supreme Council of Environment, 2013."
Eastern Mediterranean Region,Emr HI,Bahrain,Ma'Ameer,105,257,2012,,,,64,2012,,,,,,,"1 station, 1 Residential Industrial station (Mixed)","1 station, 1 Residential Industrial station (Mixed)","Supreme Council of Environment, 2013."
Eastern Mediterranean Region,Emr HI,Bahrain,Nabih Saleh,106,244,2012,,,,58,2012,,,,,,,"1 station, 1 Urban background station","1 station, 1 Urban background station","Supreme Council of Environment, 2013."
Eastern Mediterranean Region,Emr HI,Bahrain,Ras Hayan,107,250,2012,,,,44,2012,,,,,,,"1 station, 1 Rural background station","1 station, 1 Rural background station","Supreme Council of Environment, 2013."
South-East Asian Region,Sear,Bangladesh,Barisal,108,142,2014,,,,85,2014,,,,,,,"1 station, NA","1 station, NA","Ministry of Environment and Forests, Clean Air and Sustainable Environment"
South-East Asian Region,Sear,Bangladesh,Chittagong,109,135,2014,,,,95,2014,,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","2 stations, NA","2 stations, NA","Ministry of Environment and Forests, Clean Air and Sustainable Environment"
South-East Asian Region,Sear,Bangladesh,Dhaka,110,158,2014,,,,90,2014,,,,,,,"3 stations, NA","4 stations, NA","Ministry of Environment and Forests, Clean Air and Sustainable Environment; http://spartan-network.org/"
South-East Asian Region,Sear,Bangladesh,Gazipur,111,155,2014,,,,89,2014,,,,,,,"1 station, NA","1 station, NA","Ministry of Environment and Forests, Clean Air and Sustainable Environment"
South-East Asian Region,Sear,Bangladesh,Khulna,112,109,2014,,,,61,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","1 station, NA","1 station, NA","Policy impact on air quality in major metropolitan cities in Bangladesh, B.A. Begum, Md. Nasiruddin, P.K. Hopke, A. Markwitz, The African Review of Physics (in press, 2015)."
South-East Asian Region,Sear,Bangladesh,Narayangonj,113,191,2014,,,,106,2014,,,,,,,"1 station, NA","1 station, NA","Ministry of Environment and Forests, Clean Air and Sustainable Environment"
South-East Asian Region,Sear,Bangladesh,Rajshahi,114,64,2014,,,,37,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.",,"1 station, NA",-,"Ministry of Environment and Forests, Clean Air and Sustainable Environment"
South-East Asian Region,Sear,Bangladesh,Sylhet,115,170,2014,,,,61,2014,,,,,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result.","1 station, NA","1 station, NA","Ministry of Environment and Forests, Clean Air and Sustainable Environment"
European Region,Eur HI,Belgium,Aarschot,116,23,2013,,,,16,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Andenne,117,18,2013,,,,13,2013,,,,,,,"1 station, background, rural","1 station, background, rural","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Antwerpen,118,27,2013,,,,17,2013,,,,,,,"6 stations, background, urban","4 stations, background, urban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Berendrecht,119,26,2013,,,,17,2013,,,,,,,"1 station, background, suburban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Bertrix,120,15,2013,,,,10,2013,,,,,,,"1 station, background, rural","1 station, background, rural","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Boom,121,25,2013,,,,17,2013,,,,,,,"1 station, background, urban",-,"European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Brugge,122,25,2013,Yes,converted from PM2.5,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",17,2013,Yes,converted from PM2.5,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",,,,-,"1 station, background, urban","European Environment Agency, Air quality e-reporting database"
European Region,Eur HI,Belgium,Brussels,123,26,2013,,,,18,2013,,,,,,,"6 stations, background, suburban","5 stations, background, suburban","European Environment Agency, Air quality e-reporting database"
