Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)",Population
Tunisia,TUN,Country,16.35,0.00,6.50,0.93,35.20,207,74.00,10886500
Turkey,TUR,Country,17.21,28.40,14.82,2.54,69.39,593,74.86,75010202
Tuvalu,TUV,Country,NA,NA,33.33,NA,NA,161,NA,9876
Tanzania,TZA,Country,9.16,0.00,53.26,1.31,3.92,1071,63.52,50213457
Uganda,UGA,Country,17.63,NA,12.38,NA,NA,1180,57.10,36573387
Ukraine,UKR,Country,15.09,40.54,16.56,1.35,79.70,565,70.94,45489600
Upper middle income,UMC,Aggregate,38.92,57.23,28.82,1.375,32.84,NA,74.13,2342185291
Uruguay,URY,Country,6.68,0.00,10.15,1.97,NA,1300,76.69,3407969
United States,USA,Country,10.75,38.48,33.81,0.97,94.28,715,78.74,316497531
Uzbekistan,UZB,Country,25.53,4.09,7.65,1.02,NA,206,68.10,30243200
St. Vincent and the Grenadines,VCT,Country,14.50,NA,69.23,NA,NA,1583,72.67,109327
"Venezuela, RB",VEN,Country,13.43,0.00,53.48,0.023,NA,2044,73.93,30276045
Virgin Islands (U.S.),VIR,Country,NA,NA,51.26,NA,NA,NA,79.47,104737
Vietnam,VNM,Country,25.47,17.93,46.40,1.15,24.60,1821,75.61,89759500
Vanuatu,VUT,Country,7.38,NA,36.10,NA,NA,206,71.41,253165
West Bank and Gaza,PSE,Country,26.36,NA,1.52,1.87,49.06,402,73.02,4169506
World,WLD,Aggregate,31.54,40.30,30.79,1.41,32.28,NA,70.98,7175391594
Samoa,WSM,Country,7.42,NA,60.42,NA,NA,1583,72.98,190390
"Yemen, Rep.",YEM,Country,36.19,0.00,1.04,0.58,NA,167,63.33,25533217
South Africa,ZAF,Country,14.33,93.84,7.62,1.38,19.70,495,56.10,53157490
"Congo, Dem. Rep.",COD,Country,18.08,0.00,67.71,1.48,8.23,1543,57.85,72552861
Zambia,ZMB,Country,11.78,0.00,66.10,1.48,NA,1020,58.36,15246086
Zimbabwe,ZWE,Country,9.07,39.73,38.77,1.52,5.94,657,53.64,14898092
